actual,pred,alive,title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,target
0,1,0.825,Other,1,Other,268.0,Other,0,1,0,1,0,0,1,0,0,0,0.0468227424749163,1
0,1,0.855,Other,1,Other,268.0,Other,1,1,1,1,1,0,0,1,1,0,0.0769230769230769,1
1,0,0.45,Other,1,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.220735785953177,0
0,1,0.573,Other,1,Other,279.0,Other,1,1,1,1,0,0,0,0,0,0,0.1438127090301,1
0,0,0.374,Other,0,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.020066889632107,1
1,0,0.189,Other,1,Other,268.0,Other,0,0,0,0,1,0,1,0,0,0,0.0769230769230769,0
1,1,0.767,Other,1,Other,268.0,Other,0,0,1,1,0,0,1,0,0,0,0.0267558528428093,0
1,1,0.816,Other,0,Other,283.0,Other,0,0,1,1,0,0,0,0,0,0,0.0836120401337792,0
1,1,0.725,Other,0,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0167224080267558,0
1,1,0.64,Other,0,Other,268.0,Other,1,1,0,1,1,1,1,0,0,0,0.197324414715719,0
1,1,0.953,Other,1,Other,268.0,Other,0,1,1,1,0,0,0,0,0,0,0.0133779264214046,0
1,1,0.981,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.020066889632107,0
0,0,0.213,Other,0,Other,268.0,Other,0,0,0,0,1,0,0,0,0,0,0.0468227424749163,1
1,1,0.997,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
1,1,0.684,Other,1,Other,286.0,Other,0,1,1,1,1,0,0,0,0,0,0.290969899665551,0
0,0,0.021,Other,1,Other,268.0,Other,1,1,1,0,1,0,1,0,0,0,0.060200668896321,1
1,0,0.213,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0234113712374581,0
1,1,0.748,Other,1,Other,268.0,Other,0,1,0,0,0,1,0,0,0,0,0.020066889632107,0
0,0,0.123,Other,1,Other,268.0,Other,1,1,1,1,1,0,1,0,0,1,0.364548494983277,1
